Station ID,Sample Date (mm/dd/yyyy),Plot Size (m2),Total Plot Aboveground Live Biomass (g/m2),Total Plot Aboveground Dead Biomass (g/m2),Scientific Name As Originally Observed,Common Name As Originally Observed,Scientific Name as Currently Recognized,Common Name as Currently Recognized,Live stems (N),Average Live Stem Height (cm),Standard Error Live Stem Height (cm),Average Live Stem Diameter (mm),Standard Error Live Stem Diameter (mm),Aboveground Live Biomass (g/m2),Total Carbon (mg/g),Total Nitrogen (mg/g),Total Phosphorus (mg/kg),Organization,Personnel,Comments,Latitude,Longitude
CRMS0237-BAG03,8/29/2016,0.25,976.40,133.20,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,59,89.8,5.7,8.9,0.4,976.40,430.19,9.82,1452.08,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.47601510,-89.94798053
CRMS0253-BAG01,8/29/2016,0.25,1481.60,241.20,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,2,59.4,13.9,2.2,0.2,5.60,433.64,10.73,2224.20,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.55590407,-90.07299608
CRMS0253-BAG01,8/29/2016,0.25,1481.60,241.20,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,197,100.7,8.0,2.0,0.2,788.40,436.33,10.51,1696.97,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.55590407,-90.07299608
CRMS0253-BAG02,8/29/2016,0.25,966.28,253.60,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,47,89.4,10.2,2.0,0.2,219.44,434.04,13.75,1868.39,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.55591286,-90.07298551
CRMS0253-BAG03,8/29/2016,0.25,588.04,182.00,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,1,52.0,,1.0,,7.64,425.99,11.56,2205.71,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.55592164,-90.07297494
CRMS0261-BAG01,8/30/2016,0.25,308.40,486.00,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,62,112.9,7.2,2.4,0.1,278.40,443.33,15.26,1406.87,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.59940275,-90.10419695
CRMS0261-BAG02,8/30/2016,0.25,390.40,450.40,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,61,104.7,8.1,2.3,0.1,274.80,442.71,15.99,1543.58,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.59941153,-90.10418638
CRMS0261-BAG03,8/30/2016,0.25,22.60,15.08,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,2,96.2,20.5,2.3,0.0,13.64,445.51,14.13,1075.51,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.59942032,-90.10417581
CRMS0273-BAG01,10/12/2016,0.25,1925.72,6.40,Sagittaria lancifolia L.,Bulltongue,Sagittaria lancifolia L.,Bulltongue,3,126.1,2.8,31.5,3.3,59.60,402.58,25.47,2411.02,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.81719574,-90.32300287
CRMS0273-BAG03,10/12/2016,0.25,1454.20,8.00,Sagittaria lancifolia L.,Bulltongue,Sagittaria lancifolia L.,Bulltongue,3,85.1,3.3,15.3,1.0,4.40,406.30,32.16,2231.36,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.81721335,-90.32298172
CRMS0287-BAG01,10/13/2016,0.25,406.80,35.60,Sagittaria lancifolia L.,Bulltongue,Sagittaria lancifolia L.,Bulltongue,14,70.7,7.9,13.6,2.2,32.00,384.19,22.85,2835.15,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.68650136,-90.01049638
CRMS0287-BAG02,10/13/2016,0.25,588.80,83.60,Sagittaria lancifolia L.,Bulltongue,Sagittaria lancifolia L.,Bulltongue,11,86.2,5.1,17.3,2.0,102.00,403.77,21.81,2282.02,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.68651013,-90.01048579
CRMS0287-BAG03,10/13/2016,0.25,437.28,164.80,Sagittaria lancifolia L.,Bulltongue,Sagittaria lancifolia L.,Bulltongue,13,88.9,7.0,21.5,3.1,88.40,391.94,24.67,2880.39,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.68651891,-90.01047520
CRMS0287-BAG03,10/13/2016,0.25,437.28,164.80,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,13,73.4,11.6,1.7,0.1,23.28,447.16,8.85,1133.36,U.S. GEOL SURVEY (USGS),"Snedden, G.",,29.68651891,-90.01047520
CRMS0292-BAG01,6/25/2019,0.25,907.16,565.80,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,54,77.2,6.2,9.8,0.4,907.16,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.14065233,-90.22764043
CRMS0292-BAG02,6/25/2019,0.25,696.92,758.72,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,43,77.7,2.2,8.6,0.7,696.92,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.14065169,-90.22760962
CRMS0292-BAG03,6/25/2019,0.25,793.84,724.84,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,40,92.2,3.7,10.8,0.6,793.84,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.14063388,-90.22762038
CRMS0305-BAG01,6/12/2019,0.25,1078.60,142.56,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,,,,,,,,,,U.S. GEOL SURVEY (USGS),S Finn,Live target species Spartina patens for BAG01 not found in aboveground biomass plot; species was sampled outside of the plot for nutrient analysis.,29.38949019,-91.19787341
CRMS0305-BAG01,6/12/2019,0.25,1078.60,142.56,Sagittaria lancifolia L.,Bulltongue,Sagittaria lancifolia L.,Bulltongue,99,118.3,5.3,22.4,4.1,794.88,,,,U.S. GEOL SURVEY (USGS),S Finn,Live target species Spartina patens for BAG01 not found in aboveground biomass plot; species was sampled outside of the plot for nutrient analysis.,29.38949019,-91.19787341
CRMS0305-BAG02,6/12/2019,0.25,967.65,37.24,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,,,,,,,,,,U.S. GEOL SURVEY (USGS),S Finn,Live target species Spartina patens for BAG02 not found in aboveground biomass plot; species was sampled outside of the plot for nutrient analysis.,29.38951684,-91.19784203
CRMS0305-BAG02,6/12/2019,0.25,967.65,37.24,Sagittaria lancifolia L.,Bulltongue,Sagittaria lancifolia L.,Bulltongue,48,102.5,5.2,25.4,1.5,591.88,,,,U.S. GEOL SURVEY (USGS),S Finn,Live target species Spartina patens for BAG02 not found in aboveground biomass plot; species was sampled outside of the plot for nutrient analysis.,29.38951684,-91.19784203
CRMS0305-BAG03,6/12/2019,0.25,1207.20,71.68,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,,,,,,,,,,U.S. GEOL SURVEY (USGS),S Finn,Live target species Spartina patens for BAG03 not found in aboveground biomass plot; species was sampled outside of the plot for nutrient analysis.,29.38948131,-91.19788387
CRMS0305-BAG03,6/12/2019,0.25,1207.20,71.68,Sagittaria lancifolia L.,Bulltongue,Sagittaria lancifolia L.,Bulltongue,47,106.0,1.6,26.8,2.2,604.68,,,,U.S. GEOL SURVEY (USGS),S Finn,Live target species Spartina patens for BAG03 not found in aboveground biomass plot; species was sampled outside of the plot for nutrient analysis.,29.38948131,-91.19788387
CRMS0309-BAG01,6/13/2019,0.25,1703.52,1721.04,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,357,83.5,5.6,3.4,0.2,693.84,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.25339726,-91.19482146
CRMS0309-BAG02,6/13/2019,0.25,730.68,1664.04,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,122,81.9,6.0,2.6,0.2,455.92,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.25336992,-91.19480137
CRMS0309-BAG03,6/13/2019,0.25,1563.68,1956.16,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,177,99.1,2.2,2.8,0.2,700.64,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.25340573,-91.19478016
CRMS0312-BAG01,6/19/2019,0.25,905.04,1133.80,Schoenoplectus americanus (Pers.) Volkart ex Schinz & R. Keller,Olney Bulrush,Schoenoplectus americanus (Pers.) Volkart ex Schinz & R. Keller,Olney Bulrush,137,108.2,8.1,4.8,0.4,351.52,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.50524423,-90.38444307
CRMS0312-BAG02,6/20/2019,0.25,527.92,1903.32,Schoenoplectus americanus (Pers.) Volkart ex Schinz & R. Keller,Olney Bulrush,Schoenoplectus americanus (Pers.) Volkart ex Schinz & R. Keller,Olney Bulrush,13,71.8,10.9,5.2,0.4,35.52,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.50528952,-90.38445222
CRMS0312-BAG03,6/20/2019,0.25,306.20,220.92,Schoenoplectus americanus (Pers.) Volkart ex Schinz & R. Keller,Olney Bulrush,Schoenoplectus americanus (Pers.) Volkart ex Schinz & R. Keller,Olney Bulrush,92,77.3,11.7,5.4,0.7,188.80,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.50526308,-90.38448384
CRMS0315-BAG01,6/26/2019,0.25,849.48,942.72,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,40,96.2,10.6,9.2,0.8,600.60,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.40296064,-90.57313100
CRMS0315-BAG02,6/26/2019,0.25,727.36,83.08,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,29,91.5,7.7,12.2,1.6,671.36,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.40298769,-90.57313036
CRMS0315-BAG03,6/26/2019,0.25,1003.04,65.52,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,20,93.1,6.5,7.8,0.4,295.92,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.40294261,-90.57313143
CRMS0319-BAG01,6/26/2019,0.25,797.80,169.44,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,57,84.9,4.4,10.2,0.7,797.80,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.32411111,-90.32613571
CRMS0319-BAG02,6/26/2019,0.25,948.84,153.36,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,53,88.5,5.8,11.8,0.7,948.84,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.32471599,-90.32616110
CRMS0319-BAG03,6/26/2019,0.25,518.88,98.92,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,44,70.8,5.7,9.8,1.0,518.88,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.32413816,-90.32613501
CRMS0326-BAG01,6/13/2019,0.25,1383.08,652.84,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,93,113.8,8.7,2.4,0.2,538.00,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.27358119,-91.07454225
CRMS0326-BAG01,6/13/2019,0.25,1383.08,652.84,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,16,113.9,13.6,9.6,1.2,464.68,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.27358119,-91.07454225
CRMS0326-BAG02,6/13/2019,0.25,844.40,472.44,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,102,99.9,10.6,2.2,0.2,391.76,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.27358119,-91.07454225
CRMS0326-BAG02,6/13/2019,0.25,844.40,472.44,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,7,135.0,11.5,11.4,1.1,284.60,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.27358119,-91.07454225
CRMS0326-BAG03,6/13/2019,0.25,2500.96,1881.44,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,297,121.1,10.4,3.0,0.3,2275.96,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.27355413,-91.07454275
CRMS0326-BAG03,6/13/2019,0.25,2500.96,1881.44,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,5,114.7,19.6,9.4,0.6,151.88,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.27355413,-91.07454275
CRMS0327-BAG01,6/10/2020,0.25,1018.77,247.98,Sagittaria lancifolia L.,Bulltongue,Sagittaria lancifolia L.,Bulltongue,7,97.2,4.9,27.0,2.4,345.80,,,,U.S. GEOL SURVEY (USGS),T Lewis,,29.44539539,-91.06843073
CRMS0327-BAG01,6/10/2020,0.25,1018.77,247.98,Typha L.,cattail,Typha L.,cattail,2,235.0,38.0,16.0,4.0,156.86,,,,U.S. GEOL SURVEY (USGS),T Lewis,,29.44539539,-91.06843073
CRMS0327-BAG02,6/10/2020,0.25,858.65,202.94,Panicum hemitomon Schult.,maidencane,Panicum hemitomon Schult.,maidencane,55,73.2,8.5,4.6,0.4,391.56,,,,U.S. GEOL SURVEY (USGS),T Lewis,,29.44540441,-91.06843056
CRMS0327-BAG02,6/10/2020,0.25,858.65,202.94,Sagittaria lancifolia L.,Bulltongue,Sagittaria lancifolia L.,Bulltongue,34,94.0,3.6,14.6,2.4,244.92,,,,U.S. GEOL SURVEY (USGS),T Lewis,,29.44540441,-91.06843056
CRMS0327-BAG03,6/10/2020,0.25,946.35,89.02,Sagittaria lancifolia L.,Bulltongue,Sagittaria lancifolia L.,Bulltongue,9,101.4,7.2,17.8,1.9,72.48,,,,U.S. GEOL SURVEY (USGS),T Lewis,,29.44543147,-91.06843005
CRMS0335-BAG01,6/26/2019,0.25,516.64,299.72,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,26,92.3,8.9,12.0,1.3,516.64,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.26939171,-90.38712942
CRMS0335-BAG02,6/26/2019,0.25,396.40,430.36,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,27,87.1,10.2,10.4,0.4,396.40,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.26940073,-90.38712919
CRMS0335-BAG03,6/26/2019,0.25,1023.64,708.56,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,51,103.7,2.1,11.6,0.7,1023.64,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.26940052,-90.38711891
CRMS0337-BAG01,6/26/2019,0.25,264.92,115.48,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,25,85.9,5.0,8.0,0.5,264.92,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.31114414,-90.35532287
CRMS0337-BAG02,6/26/2019,0.25,409.76,235.96,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,23,88.2,9.6,9.8,0.7,409.76,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.31113472,-90.35530253
CRMS0337-BAG03,6/26/2019,0.25,496.12,207.36,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,28,89.6,3.4,10.8,1.0,496.12,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.31113492,-90.35531281
CRMS0338-BAG01,6/26/2019,0.25,607.96,358.60,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,50,74.6,9.3,9.2,0.4,607.96,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.33237894,-90.47164899
CRMS0338-BAG02,6/26/2019,0.25,668.40,330.92,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,51,72.5,9.9,9.2,0.2,668.40,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.33238172,-90.41764289
CRMS0338-BAG03,6/26/2019,0.25,766.00,353.20,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,50,71.9,8.1,10.2,0.7,766.00,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.33239113,-90.41766324
CRMS0341-BAG01,6/19/2019,0.25,761.12,415.48,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,51,94.3,5.5,9.6,0.8,761.12,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.30916929,-90.51300078
CRMS0341-BAG02,6/19/2019,0.25,880.20,582.88,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,42,92.3,5.6,9.8,1.0,880.20,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.30916066,-90.51302157
CRMS0341-BAG03,6/19/2019,0.25,1035.04,714.00,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,56,89.1,6.7,10.4,0.9,1035.40,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.30918732,-90.51300034
CRMS0345-BAG01,7/24/2019,0.25,909.16,367.08,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,93,78.0,1.3,8.0,0.6,909.16,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.17065470,-90.76280493
CRMS0345-BAG02,7/24/2019,0.25,1073.72,411.88,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,86,84.2,3.1,7.8,0.6,1073.72,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.17066303,-90.76276363
CRMS0345-BAG03,7/24/2019,0.25,433.80,209.48,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,63,64.9,2.8,6.6,0.7,433.80,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.17065453,-90.76279465
CRMS0354-BAG01,6/13/2019,0.25,384.20,265.28,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,32,88.3,5.1,2.4,0.4,129.20,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.33179941,-91.00833175
CRMS0354-BAG01,6/13/2019,0.25,384.20,265.28,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,3,84.8,6.5,10.7,0.7,45.08,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.33179941,-91.00833175
CRMS0354-BAG02,6/13/2019,0.25,177.00,215.96,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,27,84.5,1.8,1.8,0.2,78.40,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.33180874,-91.00835216
CRMS0354-BAG03,6/13/2019,0.25,549.92,871.84,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,99,85.0,12.3,3.0,0.3,485.84,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.33179085,-91.00836280
CRMS0355-BAG01,6/26/2019,0.25,340.92,101.00,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,57,57.3,3.7,7.4,0.2,340.92,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.29708586,-90.54101911
CRMS0355-BAG02,6/26/2019,0.25,99.48,100.76,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,21,58.8,4.9,5.8,0.4,99.48,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.29705899,-90.54103004
CRMS0355-BAG03,6/26/2019,0.25,511.84,307.20,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,55,69.9,6.4,6.8,0.9,511.84,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.29705843,-90.54099918
CRMS0369-BAG01,7/24/2019,0.25,1004.16,370.08,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,56,89.3,11.9,9.8,1.2,1004.16,449.69,12.49,1494.00,U.S. GEOL SURVEY (USGS),S Finn,Sample rerun 4/19/2022 by LSU to get corrected TP value,29.29427133,-90.69472949
CRMS0369-BAG02,7/24/2019,0.25,614.96,429.32,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,51,86.6,4.7,7.4,0.2,614.96,447.32,14.02,1529.16,U.S. GEOL SURVEY (USGS),S Finn,,29.29430794,-90.69475954
CRMS0369-BAG02,7/24/2019,0.25,614.96,429.32,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,,,,,,,454.25,7.90,1510.48,U.S. GEOL SURVEY (USGS),S Finn,,29.29430794,-90.69475954
CRMS0369-BAG03,7/24/2019,0.25,761.56,378.00,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,40,96.8,11.2,9.0,0.7,761.56,446.01,12.28,1395.66,U.S. GEOL SURVEY (USGS),S Finn,,29.29430776,-90.69474925
CRMS0377-BAG01,6/10/2019,0.25,946.04,238.76,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,63,84.7,2.1,10.0,0.5,945.08,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.56304816,-91.38590378
CRMS0377-BAG02,6/10/2019,0.25,795.24,412.20,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,59,73.2,6.3,11.6,1.2,794.04,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.22941476,-91.01110908
CRMS0377-BAG03,6/10/2019,0.25,813.92,461.12,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,61,69.0,10.2,10.6,0.7,813.92,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.22942286,-91.01104721
CRMS0382-BAG01,7/23/2019,0.25,511.20,123.24,Zizaniopsis miliacea (Michx.) Döll & Asch.,giant cutgrass,Zizaniopsis miliacea (Michx.) Döll & Asch.,giant cutgrass,8,179.0,14.2,31.0,3.5,510.32,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.43408055,-90.85395190
CRMS0382-BAG01,7/24/2019,0.25,511.20,123.24,Zizaniopsis miliacea (Michx.) Döll & Asch.,giant cutgrass,Zizaniopsis miliacea (Michx.) Döll & Asch.,giant cutgrass,8,179.0,14.2,31.0,3.5,510.32,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.43408055,-90.85395190
CRMS0382-BAG02,7/23/2019,0.25,442.28,152.36,Zizaniopsis miliacea (Michx.) Döll & Asch.,giant cutgrass,Zizaniopsis miliacea (Michx.) Döll & Asch.,giant cutgrass,12,175.3,18.0,28.4,4.9,435.00,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.43404481,-90.85397326
CRMS0382-BAG02,7/24/2019,0.25,442.28,152.36,Zizaniopsis miliacea (Michx.) Döll & Asch.,giant cutgrass,Zizaniopsis miliacea (Michx.) Döll & Asch.,giant cutgrass,12,175.3,18.0,28.4,4.9,435.00,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.43404481,-90.85397326
CRMS0382-BAG03,7/23/2019,0.25,619.96,76.24,Zizaniopsis miliacea (Michx.) Döll & Asch.,giant cutgrass,Zizaniopsis miliacea (Michx.) Döll & Asch.,giant cutgrass,15,200.7,4.3,39.4,1.7,611.64,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.43408105,-90.85398281
CRMS0382-BAG03,7/24/2019,0.25,619.96,76.24,Zizaniopsis miliacea (Michx.) Döll & Asch.,giant cutgrass,Zizaniopsis miliacea (Michx.) Döll & Asch.,giant cutgrass,15,200.7,4.3,39.4,1.7,611.64,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.43408105,-90.85398281
CRMS0390-BAG01,6/17/2019,0.25,2562.00,3989.52,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,446,80.1,7.9,3.4,0.2,2449.40,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.46587327,-90.66172309
CRMS0390-BAG02,6/17/2019,0.25,2138.40,5543.76,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,448,83.0,4.1,2.4,0.2,2138.40,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.46590033,-90.66172247
CRMS0390-BAG03,6/17/2019,0.25,103.28,271.00,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,Spartina patens (Aiton) Muhl.,Marshhay Cordgrass,19,66.0,3.2,1.8,0.4,103.28,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.46588265,-90.66174349
CRMS0395-BAG01,6/11/2019,0.25,1251.32,138.36,Typha L.,cattail,Typha L.,cattail,3,237.6,17.6,25.7,4.7,283.48,,,,U.S. GEOL SURVEY (USGS),S Finn,Live target species Spartina patens for BAG01 not found in aboveground biomass plot; species was sampled outside of the plot for nutrient analysis.,29.35950973,-90.88596176
CRMS0395-BAG01,6/11/2019,0.25,1251.32,138.36,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,,,,,,,,,,U.S. GEOL SURVEY (USGS),S Finn,Live target species Spartina patens for BAG01 not found in aboveground biomass plot; species was sampled outside of the plot for nutrient analysis.,29.35950973,-90.88596176
CRMS0395-BAG02,6/11/2019,0.25,0.00,107.20,Typha L.,cattail,Typha L.,cattail,,,,,,,,,,U.S. GEOL SURVEY (USGS),S Finn,Live target species Typha sp and Spartina alterniflora for BAG02 were not found in aboveground biomass plot; species was sampled outside of the plot for nutrient analysis.,29.35948300,-90.88598291
CRMS0395-BAG02,6/11/2019,0.25,0.00,107.20,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,,,,,,,,,,U.S. GEOL SURVEY (USGS),S Finn,Live target species Typha sp and Spartina alterniflora for BAG02 were not found in aboveground biomass plot; species was sampled outside of the plot for nutrient analysis.,29.35948300,-90.88598291
CRMS0395-BAG03,6/11/2019,0.25,1069.28,24.72,Typha L.,cattail,Typha L.,cattail,1,277.6,0.0,44.0,0.0,233.28,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.35935722,-90.88601641
