Station ID,Group,Sample Date (mm/dd/yyyy),Sample Depth (cm),Wet Soil pH (pH units),Dry Soil pH (pH units),Soil Specific Conductance (uS/cm),Soil Salinity (ppt),Soil Moisture Content (%),Bulk Density (g/cm3),Organic Matter (%),Wet Volume (cm3),Dry Volume (cm3),Biomass Target Flora Species,Belowground Live Biomass (g/m2),Belowground Dead Biomass (g/m2),Organic Density (g/cm3),Total Carbon (g/kg),Carbon Density (mg/cm3),Total Nitrogen (g/kg),Total Phosphorus (mg/kg),Sand (%),Silt (%),Clay (%),Particle Size Mean (phi),Particle Size Median (phi),Particle Size Standard Deviation (phi),Radiometric Dating Method and Units,Isotope Concentration,Organization,Personnel,Comments,Latitude,Longitude
CRMS0332-S06,,5/10/2018,12 to 16,,,,,55.34,0.62,8.83,324.29,75.7,,,,0.0547,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,K. Soderstrum; B. Lussier,Spartina alterniflora and Spartina patens are dominant species. Marsh not flooded. Crew used corer number 3. ,29.29814857,-91.03968037
CRMS0332-S06,,5/10/2018,16 to 20,,,,,58.14,0.54,6.55,324.29,79.77,,,,0.0354,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,K. Soderstrum; B. Lussier,Spartina alterniflora and Spartina patens are dominant species. Marsh not flooded. Crew used corer number 3. ,29.29814857,-91.03968037
CRMS0332-S06,,5/10/2018,20 to 24,,,,,55.49,0.63,7.25,324.29,68.9,,,,0.0457,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,K. Soderstrum; B. Lussier,Spartina alterniflora and Spartina patens are dominant species. Marsh not flooded. Crew used corer number 3. ,29.29814857,-91.03968037
CRMS0335-BBG01,,6/26/2019,0 to 8,,,,,,,,,,Spartina alterniflora Loisel.,1401.27,168.15,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.26939171,-90.38712942
CRMS0335-BBG01,,6/26/2019,8 to 16,,,,,,,,,,Spartina alterniflora Loisel.,1122.29,91.72,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.26939171,-90.38712942
CRMS0335-BBG01,,6/26/2019,16 to 24,,,,,,,,,,Spartina alterniflora Loisel.,779.62,107.01,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.26939171,-90.38712942
CRMS0335-BBG02,,6/26/2019,0 to 8,,,,,,,,,,Spartina alterniflora Loisel.,2294.27,189.81,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.26940073,-90.38712919
CRMS0335-BBG02,,6/26/2019,8 to 16,,,,,,,,,,Spartina alterniflora Loisel.,2331.21,141.4,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.26940073,-90.38712919
CRMS0335-BBG02,,6/26/2019,16 to 24,,,,,,,,,,Spartina alterniflora Loisel.,1248.41,117.2,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.26940073,-90.38712919
CRMS0335-BBG03,,6/26/2019,0 to 8,,,,,,,,,,Spartina alterniflora Loisel.,1754.14,138.85,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.26940052,-90.38711891
CRMS0335-BBG03,,6/26/2019,8 to 16,,,,,,,,,,Spartina alterniflora Loisel.,842.04,528.66,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.26940052,-90.38711891
CRMS0335-BBG03,,6/26/2019,16 to 24,,,,,,,,,,Spartina alterniflora Loisel.,830.57,25.48,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.26940052,-90.38711891
CRMS0335-S01,,6/25/2007,0 to 4,6.46,5.65,13680,7.9,69.46,0.3,16.83,324.29,98.2,,,,0.0505,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; J. Soileau; P. Ritchie,Soil dark brown in color almost black; some root material,29.2690503,-90.38719984
CRMS0335-S01,,6/25/2007,4 to 8,7.08,5.99,13430,7.8,67.94,0.33,18.6,324.29,110.43,,,,0.0614,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Soileau; P. Ritchie; A. Dufrene,Soil dark brown in color almost black; some root material,29.2690503,-90.38719984
CRMS0335-S01,,6/25/2007,8 to 12,7.32,5.6,12600,7.2,69.75,0.34,17.41,324.29,100.1,,,,0.0592,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; J. Soileau; P. Ritchie,Soil dark brown in color almost black; some root material,29.2690503,-90.38719984
CRMS0335-S01,,6/25/2007,12 to 16,7.38,4.89,13760,8,70.64,0.34,16.98,324.29,110.95,,,,0.0577,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; J. Soileau; P. Ritchie,Soil dark brown in color almost black; some root material,29.2690503,-90.38719984
CRMS0335-S01,,6/25/2007,16 to 20,7.19,5.6,13940,8.1,66.5,0.39,15.69,324.29,115.6,,,,0.0612,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; J. Soileau; P. Ritchie,Soil dark brown in color almost black; some root material,29.2690503,-90.38719984
CRMS0335-S01,,6/25/2007,20 to 24,7.45,5.32,13810,8,68.99,0.37,16.48,324.29,107.53,,,,0.061,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; J. Soileau; P. Ritchie,Soil dark brown in color almost black; some root material,29.2690503,-90.38719984
CRMS0335-S02,,6/25/2007,0 to 4,6.87,6.4,13410,7.7,70.08,0.33,18.32,324.29,110.07,,,,0.0605,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; J. Soileau; P. Ritchie,Soil dark brown in color almost black; some root material,29.26900542,-90.38721127
CRMS0335-S02,,6/25/2007,4 to 8,7.21,5.87,12140,6.95,69.14,0.38,18.55,324.29,131.46,,,,0.0705,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; J. Soileau; P. Ritchie,Soil dark brown in color almost black; some root material,29.26900542,-90.38721127
CRMS0335-S02,,6/25/2007,8 to 12,7.31,5.73,11830,6.8,67.46,0.4,17.35,324.29,129.21,,,,0.0694,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; J. Soileau; P. Ritchie,Soil dark brown in color almost black; some root material,29.26900542,-90.38721127
CRMS0335-S02,,6/25/2007,12 to 16,7.25,5.68,13450,7.8,71.62,0.31,18.88,324.29,95.71,,,,0.0585,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; J. Soileau; P. Ritchie,Soil dark brown in color almost black; some root material,29.26900542,-90.38721127
CRMS0335-S02,,6/25/2007,16 to 20,7.21,5.51,13660,7.9,70.85,0.26,17.6,324.29,88.94,,,,0.0458,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; J. Soileau; P. Ritchie,Soil dark brown in color almost black; some root material,29.26900542,-90.38721127
CRMS0335-S02,,6/25/2007,20 to 24,7.35,5.91,13970,8.1,66.65,0.36,15.32,324.29,98.8,,,,0.0552,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; J. Soileau; P. Ritchie,Soil dark brown in color almost black; some root material,29.26900542,-90.38721127
CRMS0335-S03,,6/25/2007,0 to 4,6.36,5.78,12910,7.4,68.04,0.32,17.59,324.29,96.44,,,,0.0563,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; J. Soileau; P. Ritchie,Soil dark brown in color almost black; some root material,29.26895092,-90.38719208
CRMS0335-S03,,6/25/2007,4 to 8,7.16,6.19,12120,6.9,66.63,0.37,16.55,324.29,111.8,,,,0.0612,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; J. Soileau; P. Ritchie,Soil dark brown in color almost black; some root material,29.26895092,-90.38719208
CRMS0335-S03,,6/25/2007,8 to 12,6.92,5.32,12360,7.1,67.12,0.36,16.05,324.29,107.61,,,,0.0578,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; J. Soileau; P. Ritchie,Soil dark brown in color almost black; some root material,29.26895092,-90.38719208
CRMS0335-S03,,6/25/2007,12 to 16,6.76,5.26,11670,6.65,68.84,0.36,16.58,324.29,101.58,,,,0.0597,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; J. Soileau; P. Ritchie,Soil dark brown in color almost black; some root material,29.26895092,-90.38719208
CRMS0335-S03,,6/25/2007,16 to 20,7.24,5.28,12050,6.9,69.59,0.37,16.01,324.29,128.25,,,,0.0592,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; J. Soileau; P. Ritchie,Soil dark brown in color almost black; some root material,29.26895092,-90.38719208
CRMS0335-S03,,6/25/2007,20 to 24,7.02,4.9,13130,7.6,70.31,0.33,16.32,324.29,107.05,,,,0.0539,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; J. Soileau; P. Ritchie,Soil dark brown in color almost black; some root material,29.26895092,-90.38719208
CRMS0335-S04,,5/18/2018,0 to 4,,,,,71.84,0.23,20.85,324.29,133.99,,,,0.048,73.77,16.967,4.51,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; K. Soderstrum,Spartina alterniflora is dominant species. 22 cm of water on marsh. Crew used corer number 2. ,29.26870644,-90.3866839
CRMS0335-S04,,5/18/2018,4 to 8,,,,,68.57,0.25,16.01,324.29,144.05,,,,0.04,55.18,13.795,3.15,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; K. Soderstrum,Spartina alterniflora is dominant species. 22 cm of water on marsh. Crew used corer number 2. ,29.26870644,-90.3866839
CRMS0335-S04,,5/18/2018,8 to 12,,,,,69.83,0.27,16.31,324.29,118.25,,,,0.044,55.24,14.915,3.12,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; K. Soderstrum,Spartina alterniflora is dominant species. 22 cm of water on marsh. Crew used corer number 2. ,29.26870644,-90.3866839
CRMS0335-S04,,5/18/2018,12 to 16,,,,,51.97,0.46,4.31,324.29,164.39,,,,0.0198,8.23,3.786,0.27,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; K. Soderstrum,Spartina alterniflora is dominant species. 22 cm of water on marsh. Crew used corer number 2. ,29.26870644,-90.3866839
CRMS0335-S04,,5/18/2018,16 to 20,,,,,59.98,0.4,6.98,324.29,131.68,,,,0.0279,17.41,6.964,0.88,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; K. Soderstrum,Spartina alterniflora is dominant species. 22 cm of water on marsh. Crew used corer number 2. ,29.26870644,-90.3866839
CRMS0335-S04,,5/18/2018,20 to 24,,,,,67.57,0.29,17.15,324.29,126.12,,,,0.0497,54.76,15.88,3.46,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; K. Soderstrum,Spartina alterniflora is dominant species. 22 cm of water on marsh. Crew used corer number 2. ,29.26870644,-90.3866839
CRMS0335-S05,,5/18/2018,0 to 4,,,,,72.49,0.27,31.92,324.29,90.42,,,,0.0862,120.94,32.654,4.48,471.17,4.99,62.82,32.19,7.05,7.1,1.9,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; K. Soderstrum,Spartina alterniflora is dominant species. 22 cm of water on marsh. Crew used corer number 2. ,29.26883408,-90.38675266
CRMS0335-S05,,5/18/2018,4 to 8,,,,,67.2,0.38,16.27,324.29,74.31,,,,0.0618,60.02,22.808,3.28,416.53,4.47,62.37,33.17,7.04,7.08,1.95,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; K. Soderstrum,Spartina alterniflora is dominant species. 22 cm of water on marsh. Crew used corer number 2. ,29.26883408,-90.38675266
CRMS0335-S05,,5/18/2018,8 to 12,,,,,59.34,0.47,14.45,324.29,103.82,,,,0.0679,51.91,24.398,2.86,493.91,8.84,69.69,21.46,5.9,5.12,2.07,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; K. Soderstrum,Spartina alterniflora is dominant species. 22 cm of water on marsh. Crew used corer number 2. ,29.26883408,-90.38675266
CRMS0335-S05,,5/18/2018,12 to 16,,,,,69.28,0.31,17.83,324.29,96.76,,,,0.0553,62.24,19.294,3.56,458.08,3.85,57.11,39.03,7.27,7.38,1.97,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; K. Soderstrum,Spartina alterniflora is dominant species. 22 cm of water on marsh. Crew used corer number 2. ,29.26883408,-90.38675266
CRMS0335-S05,,5/18/2018,16 to 20,,,,,68.29,0.29,20.05,324.29,124.96,,,,0.0581,69.61,20.187,3.95,404.88,2.83,64.71,32.46,7.06,7.07,1.85,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; K. Soderstrum,Spartina alterniflora is dominant species. 22 cm of water on marsh. Crew used corer number 2. ,29.26883408,-90.38675266
CRMS0335-S05,,5/18/2018,20 to 24,,,,,75.26,0.22,19.89,324.29,111.18,,,,0.0438,80.53,17.717,4.38,338.94,2.79,62.91,34.3,7.18,7.17,1.83,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; K. Soderstrum,Spartina alterniflora is dominant species. 22 cm of water on marsh. Crew used corer number 2. ,29.26883408,-90.38675266
CRMS0335-S06,,5/18/2018,0 to 4,,,,,70.11,0.3,19.03,324.29,98.7,,,,0.0571,64.06,19.218,4,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; K. Soderstrum,Spartina alterniflora is dominant species. 22 cm of water on marsh. Crew used corer number 2. ,29.26906491,-90.38702457
CRMS0335-S06,,5/18/2018,4 to 8,,,,,65.3,0.32,14.71,324.29,127.83,,,,0.0471,50.56,16.179,2.4,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; K. Soderstrum,Spartina alterniflora is dominant species. 22 cm of water on marsh. Crew used corer number 2. ,29.26906491,-90.38702457
CRMS0335-S06,,5/18/2018,8 to 12,,,,,65.47,0.39,24.55,324.29,87.14,,,,0.0957,47.1,18.369,2.72,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; K. Soderstrum,Spartina alterniflora is dominant species. 22 cm of water on marsh. Crew used corer number 2. ,29.26906491,-90.38702457
CRMS0335-S06,,5/18/2018,12 to 16,,,,,53.36,0.55,8.95,324.29,121.74,,,,0.0492,27.22,14.971,1.49,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; K. Soderstrum,Spartina alterniflora is dominant species. 22 cm of water on marsh. Crew used corer number 2. ,29.26906491,-90.38702457
CRMS0335-S06,,5/18/2018,16 to 20,,,,,42.27,0.75,5.8,324.29,146.57,,,,0.0435,16.61,12.458,0.84,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; K. Soderstrum,Spartina alterniflora is dominant species. 22 cm of water on marsh. Crew used corer number 2. ,29.26906491,-90.38702457
CRMS0335-S06,,5/18/2018,20 to 24,,,,,41.45,0.77,6.2,324.29,148.14,,,,0.0477,16.18,12.459,0.87,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; K. Soderstrum,Spartina alterniflora is dominant species. 22 cm of water on marsh. Crew used corer number 2. ,29.26906491,-90.38702457
CRMS0336-S01,,6/6/2006,0 to 4,6.11,5.08,18270,10.8,60.32,0.45,18.81,324.29,148.3,,,,0.0846,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; M. Acosta; M. Sevier,Fine particle sands noticed in core; clay,29.32045279,-90.38294301
CRMS0336-S01,,6/6/2006,4 to 8,4.82,4.63,16690,9.8,69.95,0.35,24.47,324.29,142.95,,,,0.0856,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; M. Acosta; M. Sevier,Fine particle sands noticed in core; clay,29.32045279,-90.38294301
CRMS0336-S01,,6/6/2006,8 to 12,4.83,4.36,16645,9.8,67.62,0.38,24.33,324.29,157.42,,,,0.0925,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; M. Acosta; M. Sevier,Fine particle sands noticed in core; clay,29.32045279,-90.38294301
CRMS0336-S01,,6/6/2006,12 to 16,4.75,4.18,16150,9.5,64.99,0.37,22.02,324.29,146.31,,,,0.0815,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; M. Acosta; M. Sevier,Fine particle sands noticed in core; clay,29.32045279,-90.38294301
CRMS0336-S01,,6/6/2006,16 to 20,5.51,4.1,15550,9.1,66.7,0.39,23.03,324.29,147.69,,,,0.0898,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; M. Acosta; M. Sevier,Fine particle sands noticed in core; clay,29.32045279,-90.38294301
CRMS0336-S01,,6/6/2006,20 to 24,5.47,3.81,15935,9.35,69.09,0.38,24.6,324.29,150.28,,,,0.0935,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; M. Acosta; M. Sevier,Fine particle sands noticed in core; clay,29.32045279,-90.38294301
CRMS0336-S02,,6/6/2006,0 to 4,5.05,4.8,21590,13,59.01,0.4,22.02,324.29,147.62,,,,0.0881,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; M. Acosta; M. Sevier,,29.3201195,-90.38348111
CRMS0336-S02,,6/6/2006,4 to 8,4.08,3.99,19125,11.35,70.46,0.28,26.19,324.29,123.63,,,,0.0733,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; M. Acosta; M. Sevier,,29.3201195,-90.38348111
CRMS0336-S02,,6/6/2006,8 to 12,4.24,4.06,18640,11.1,70.69,0.28,30.77,324.29,123.7,,,,0.0862,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; M. Acosta; M. Sevier,,29.3201195,-90.38348111
CRMS0336-S02,,6/6/2006,12 to 16,4.35,4.15,18230,10.8,73.96,0.28,30.77,324.29,129.44,,,,0.0862,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; M. Acosta; M. Sevier,,29.3201195,-90.38348111
CRMS0336-S02,,6/6/2006,16 to 20,5.28,4.43,17695,10.45,71.07,0.3,23.83,324.29,114.87,,,,0.0715,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; M. Acosta; M. Sevier,,29.3201195,-90.38348111
CRMS0336-S02,,6/6/2006,20 to 24,5.54,4.83,16530,9.7,69.9,0.36,19.26,324.29,130.46,,,,0.0693,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; M. Acosta; M. Sevier,,29.3201195,-90.38348111
CRMS0336-S03,,6/6/2006,0 to 4,5.21,4.48,21640,13,62.21,0.45,14.54,324.29,148,,,,0.0654,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; M. Acosta; M. Sevier,strong smell,29.32010546,-90.38354466
CRMS0336-S03,,6/6/2006,4 to 8,4.69,4.56,17790,10.5,72.87,0.26,29.38,324.29,108.38,,,,0.0764,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; M. Acosta; M. Sevier,strong smell,29.32010546,-90.38354466
CRMS0336-S03,,6/6/2006,8 to 12,5.3,4.75,17810,10.5,76.68,0.24,27.84,324.29,98.58,,,,0.0668,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; M. Acosta; M. Sevier,strong smell,29.32010546,-90.38354466
CRMS0336-S03,,6/6/2006,12 to 16,5.32,4.43,15970,9.4,78.64,0.21,33.33,324.29,86.78,,,,0.07,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; M. Acosta; M. Sevier,strong smell,29.32010546,-90.38354466
CRMS0336-S03,,6/6/2006,16 to 20,6.61,4.95,15160,8.9,75.84,0.24,28,324.29,87.75,,,,0.0672,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; M. Acosta; M. Sevier,strong smell,29.32010546,-90.38354466
CRMS0336-S03,,6/6/2006,20 to 24,6.87,5.25,13945,8.05,70.67,0.33,21.42,324.29,112.14,,,,0.0707,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; M. Acosta; M. Sevier,strong smell,29.32010546,-90.38354466
CRMS0336-S04,,5/18/2018,0 to 4,,,,,70.79,0.22,22.48,324.29,154.58,,,,0.0495,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; K. Soderstrum,Spartina alterniflora is dominant species. 26 cm of water on marsh. Crew used corer number 2. ,29.31972096,-90.38360316
CRMS0336-S04,,5/18/2018,4 to 8,,,,,66.43,0.33,18.15,324.29,109.68,,,,0.0599,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; K. Soderstrum,Spartina alterniflora is dominant species. 26 cm of water on marsh. Crew used corer number 2. ,29.31972096,-90.38360316
CRMS0336-S04,,5/18/2018,8 to 12,,,,,74.77,0.22,30.12,324.29,111.74,,,,0.0663,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; K. Soderstrum,Spartina alterniflora is dominant species. 26 cm of water on marsh. Crew used corer number 2. ,29.31972096,-90.38360316
CRMS0336-S04,,5/18/2018,12 to 16,,,,,82.72,0.1,41.38,324.29,174.98,,,,0.0414,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; K. Soderstrum,Spartina alterniflora is dominant species. 26 cm of water on marsh. Crew used corer number 2. ,29.31972096,-90.38360316
CRMS0336-S04,,5/18/2018,16 to 20,,,,,82.79,0.11,43.75,324.29,147.41,,,,0.0481,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; K. Soderstrum,Spartina alterniflora is dominant species. 26 cm of water on marsh. Crew used corer number 2. ,29.31972096,-90.38360316
CRMS0336-S04,,5/18/2018,20 to 24,,,,,75.93,0.17,27.86,324.29,150.08,,,,0.0474,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; K. Soderstrum,Spartina alterniflora is dominant species. 26 cm of water on marsh. Crew used corer number 2. ,29.31972096,-90.38360316
CRMS0336-S05,,5/18/2018,0 to 4,,,,,67.27,0.24,15.39,324.29,162.34,,,,0.0369,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; K. Soderstrum,Spartina alterniflora is dominant species. 26 cm of water on marsh. Crew used corer number 2. ,29.31970051,-90.38348016
CRMS0336-S05,,5/18/2018,4 to 8,,,,,65.9,0.31,18.94,324.29,128.93,,,,0.0587,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; K. Soderstrum,Spartina alterniflora is dominant species. 26 cm of water on marsh. Crew used corer number 2. ,29.31970051,-90.38348016
CRMS0336-S05,,5/18/2018,8 to 12,,,,,73.36,0.26,27.51,324.29,90.51,,,,0.0715,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; K. Soderstrum,Spartina alterniflora is dominant species. 26 cm of water on marsh. Crew used corer number 2. ,29.31970051,-90.38348016
CRMS0336-S05,,5/18/2018,12 to 16,,,,,80.14,0.14,39.83,324.29,139.5,,,,0.0558,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; K. Soderstrum,Spartina alterniflora is dominant species. 26 cm of water on marsh. Crew used corer number 2. ,29.31970051,-90.38348016
CRMS0336-S05,,5/18/2018,16 to 20,,,,,82.1,0.13,39.49,324.29,137.78,,,,0.0513,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; K. Soderstrum,Spartina alterniflora is dominant species. 26 cm of water on marsh. Crew used corer number 2. ,29.31970051,-90.38348016
CRMS0336-S05,,5/18/2018,20 to 24,,,,,83.19,0.15,34.76,324.29,89.09,,,,0.0521,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; K. Soderstrum,Spartina alterniflora is dominant species. 26 cm of water on marsh. Crew used corer number 2. ,29.31970051,-90.38348016
CRMS0336-S06,,5/18/2018,0 to 4,,,,,75.53,0.18,22.84,324.29,141.88,,,,0.0411,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; K. Soderstrum,Spartina alterniflora is dominant species. 26 cm of water on marsh. Crew used corer number 2. ,29.31964359,-90.38333751
CRMS0336-S06,,5/18/2018,4 to 8,,,,,67.56,0.35,17.08,324.29,85.03,,,,0.0598,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; K. Soderstrum,Spartina alterniflora is dominant species. 26 cm of water on marsh. Crew used corer number 2. ,29.31964359,-90.38333751
CRMS0336-S06,,5/18/2018,8 to 12,,,,,75.1,0.26,28.75,324.29,71.99,,,,0.0748,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; K. Soderstrum,Spartina alterniflora is dominant species. 26 cm of water on marsh. Crew used corer number 2. ,29.31964359,-90.38333751
CRMS0336-S06,,5/18/2018,12 to 16,,,,,80.15,0.2,37.18,324.29,61.88,,,,0.0744,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; K. Soderstrum,Spartina alterniflora is dominant species. 26 cm of water on marsh. Crew used corer number 2. ,29.31964359,-90.38333751
CRMS0336-S06,,5/18/2018,16 to 20,,,,,81.48,0.15,37.53,324.29,104.75,,,,0.0563,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; K. Soderstrum,Spartina alterniflora is dominant species. 26 cm of water on marsh. Crew used corer number 2. ,29.31964359,-90.38333751
CRMS0336-S06,,5/18/2018,20 to 24,,,,,79.29,0.14,38.5,324.29,146.37,,,,0.0539,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; K. Soderstrum,Spartina alterniflora is dominant species. 26 cm of water on marsh. Crew used corer number 2. ,29.31964359,-90.38333751
CRMS0337-BBG01,,6/26/2019,0 to 8,,,,,,,,,,Spartina alterniflora Loisel.,695.54,240.76,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.31114414,-90.35532287
CRMS0337-BBG01,,6/26/2019,8 to 16,,,,,,,,,,Spartina alterniflora Loisel.,179.62,126.11,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.31114414,-90.35532287
CRMS0337-BBG01,,6/26/2019,16 to 24,,,,,,,,,,Spartina alterniflora Loisel.,261.15,103.18,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.31114414,-90.35532287
CRMS0337-BBG02,,6/26/2019,0 to 8,,,,,,,,,,Spartina alterniflora Loisel.,203.82,131.21,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.31113472,-90.35530253
CRMS0337-BBG02,,6/26/2019,8 to 16,,,,,,,,,,Spartina alterniflora Loisel.,282.8,108.28,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.31113472,-90.35530253
CRMS0337-BBG02,,6/26/2019,16 to 24,,,,,,,,,,Spartina alterniflora Loisel.,659.87,98.09,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.31113472,-90.35530253
CRMS0337-BBG03,,6/26/2019,0 to 8,,,,,,,,,,Spartina alterniflora Loisel.,393.63,163.06,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.31113492,-90.35531281
CRMS0337-BBG03,,6/26/2019,8 to 16,,,,,,,,,,Spartina alterniflora Loisel.,696.82,49.68,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.31113492,-90.35531281
CRMS0337-BBG03,,6/26/2019,16 to 24,,,,,,,,,,Spartina alterniflora Loisel.,393.63,82.8,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),S Finn,,29.31113492,-90.35531281
